"source","parameter","value","rho_it","it","N"
"2_8_sim_GP_param.csv","sigma",3,2,8,9999
"2_8_sim_GP_param.csv","mu_0",-2.28284659373445,2,8,9999
"2_8_sim_GP_param.csv","mu_50",4.09458881211653,2,8,9999
"2_8_sim_GP_param.csv","mu_150",1.00853339815931,2,8,9999
"2_8_sim_GP_param.csv","mu_300",0.441451128823866,2,8,9999
"2_8_sim_GP_param.csv","mu_500",2.68039229926656,2,8,9999
"2_9_sim_GP_param.csv","alpha",4,2,9,9999
"2_9_sim_GP_param.csv","rho",0.1,2,9,9999
"2_9_sim_GP_param.csv","sigma",3,2,9,9999
"2_9_sim_GP_param.csv","mu_0",-2.83675315350903,2,9,9999
"2_9_sim_GP_param.csv","mu_50",-0.871762581565328,2,9,9999
"2_9_sim_GP_param.csv","mu_150",-0.815074135831948,2,9,9999
"2_9_sim_GP_param.csv","mu_300",-3.43521706418866,2,9,9999
"2_9_sim_GP_param.csv","mu_500",0.980855668942343,2,9,9999
"2_10_sim_GP_param.csv","alpha",4,2,10,9999
"2_10_sim_GP_param.csv","rho",0.1,2,10,9999
"2_10_sim_GP_param.csv","sigma",3,2,10,9999
"2_10_sim_GP_param.csv","mu_0",2.99701866141728,2,10,9999
"2_10_sim_GP_param.csv","mu_50",9.55181335284347,2,10,9999
"2_10_sim_GP_param.csv","mu_150",3.91659358580252,2,10,9999
"2_10_sim_GP_param.csv","mu_300",-3.98269525109939,2,10,9999
"2_10_sim_GP_param.csv","mu_500",5.06087455058632,2,10,9999
"2_11_sim_GP_param.csv","alpha",4,2,11,9999
"2_11_sim_GP_param.csv","rho",0.1,2,11,9999
"2_11_sim_GP_param.csv","sigma",3,2,11,9999
"2_11_sim_GP_param.csv","mu_0",-2.32006552815342,2,11,9999
"2_11_sim_GP_param.csv","mu_50",0.207591887889738,2,11,9999
"2_11_sim_GP_param.csv","mu_150",-2.1952859994336,2,11,9999
"2_11_sim_GP_param.csv","mu_300",0.0298818033448246,2,11,9999
"2_11_sim_GP_param.csv","mu_500",3.55681912714417,2,11,9999
