"N","param","mean","2.5%","25%","50%","75%","97.5%","species","it"
330,"mu[1]",-0.443871681,-4.399935451,-2.04031785,-0.484968878,1.05730757,3.966165022,"Engraulis mordax",13
330,"mu[2]",-1.589926414,-4.723014315,-3.131775623,-1.849256591,-0.293138458,3.024192561,"Engraulis mordax",13
330,"mu[3]",-2.450416921,-4.875049519,-3.866692848,-2.785107996,-1.405536803,1.852197649,"Engraulis mordax",13
330,"mu[4]",-2.529117654,-4.891887847,-3.952822704,-2.83580182,-1.496300169,1.744924632,"Engraulis mordax",13
330,"mu[5]",-2.717135005,-4.929697418,-4.121437402,-3.113657635,-1.68187244,1.62507881,"Engraulis mordax",13
330,"alpha",4.066102508,2.985964259,3.637038676,4.00550687,4.417267222,5.475499754,"Engraulis mordax",14
330,"rho",0.330582415,-1.55195618,0.200168563,0.645479664,0.853874177,1.16264876,"Engraulis mordax",14
330,"sigma",3.294294639,2.097943391,3.264094229,3.427948164,3.546706108,3.754208083,"Engraulis mordax",14
330,"mu[1]",0.228757487,-4.14266303,-1.396365535,0.302783132,1.934612172,3.934820364,"Engraulis mordax",14
330,"mu[2]",-2.633291256,-4.870522561,-3.932356132,-3.00301001,-1.639667944,1.392844635,"Engraulis mordax",14
330,"mu[3]",-2.915911748,-4.940194794,-4.228904271,-3.357226438,-1.972226338,1.184025353,"Engraulis mordax",14
330,"mu[4]",-2.831943568,-4.927384177,-4.211069897,-3.233020161,-1.801588709,1.356278453,"Engraulis mordax",14
330,"mu[5]",-3.224241131,-4.942681893,-4.417129782,-3.641537211,-2.443006615,0.676270575,"Engraulis mordax",14
330,"alpha",3.82741843,3.012221354,3.504005503,3.786795208,4.098655147,4.895630673,"Engraulis mordax",15
330,"rho",-0.211975177,-1.271421075,-0.542649667,-0.185488616,0.111664616,0.796480919,"Engraulis mordax",15
330,"sigma",3.132987867,2.399034137,2.992722391,3.174363248,3.332059519,3.607541033,"Engraulis mordax",15
330,"mu[1]",1.163115062,-2.418971828,0.126660173,1.305588762,2.306805173,4.078432689,"Engraulis mordax",15
330,"mu[2]",-2.46834085,-4.75683721,-3.484003556,-2.633945781,-1.649451653,0.685450035,"Engraulis mordax",15
330,"mu[3]",-3.422457946,-4.944520848,-4.360533761,-3.675161277,-2.759098515,-0.480158569,"Engraulis mordax",15
330,"mu[4]",-3.636428578,-4.946733619,-4.477282042,-3.894414702,-3.125413975,-0.749699681,"Engraulis mordax",15
330,"mu[5]",-3.849188008,-4.954529419,-4.58499855,-4.094317017,-3.392116077,-1.326369404,"Engraulis mordax",15
330,"alpha",4.011766407,2.919112365,3.528737557,3.963080624,4.425613288,5.433525194,"Engraulis mordax",16
330,"rho",0.576568405,-0.165632652,0.361946997,0.622844739,0.83087598,1.118519093,"Engraulis mordax",16
330,"sigma",3.58130286,3.27831482,3.47149826,3.580311992,3.680580988,3.906299722,"Engraulis mordax",16
330,"mu[1]",0.065961803,-4.056967699,-1.279653392,0.160029761,1.457730785,3.815834331,"Engraulis mordax",16
330,"mu[2]",-1.758104262,-4.644182004,-3.138725258,-1.989832462,-0.656260734,2.467806852,"Engraulis mordax",16
330,"mu[3]",-2.687016076,-4.869770252,-4.026029226,-3.028058488,-1.722620699,1.195062835,"Engraulis mordax",16
330,"mu[4]",-3.009749682,-4.924143364,-4.192421835,-3.362346505,-2.147860298,0.795809894,"Engraulis mordax",16
330,"mu[5]",-3.143825207,-4.930652738,-4.264094373,-3.509144021,-2.362807422,0.712172775,"Engraulis mordax",16
330,"alpha",3.8633415,3.033681399,3.525941683,3.817362013,4.147957259,4.980334709,"Engraulis mordax",17
330,"rho",-0.250010261,-0.978096521,-0.505088612,-0.319142207,-0.072555738,0.823673794,"Engraulis mordax",17
330,"sigma",3.19468948,2.734400141,3.041874457,3.197036536,3.350129074,3.634456457,"Engraulis mordax",17
330,"mu[1]",1.220822311,-3.107912183,0.277020552,1.402199044,2.335822829,4.144377471,"Engraulis mordax",17
330,"mu[2]",-2.536043753,-4.727787863,-3.550059969,-2.707088928,-1.719259852,0.639201084,"Engraulis mordax",17
330,"mu[3]",-3.430188586,-4.922929537,-4.348216885,-3.684639121,-2.819446158,-0.336680018,"Engraulis mordax",17
330,"mu[4]",-3.647642116,-4.940547968,-4.483745392,-3.926152558,-3.132765273,-0.77973733,"Engraulis mordax",17
330,"mu[5]",-3.917931613,-4.971300613,-4.645695082,-4.18349151,-3.467759216,-1.469853738,"Engraulis mordax",17
