"source","parameter","value","rho_it","it","N"
"11_17_est_GP_param.csv","mu[3]",-3.671343086,11,17,330
"11_17_est_GP_param.csv","mu[4]",3.923885568,11,17,330
"11_17_est_GP_param.csv","mu[5]",-1.252180874,11,17,330
"11_18_est_GP_param.csv","alpha",1.738894974,11,18,330
"11_18_est_GP_param.csv","rho",0.631488874,11,18,330
"11_18_est_GP_param.csv","sigma",2.886245595,11,18,330
"11_18_est_GP_param.csv","mu[1]",1.965148487,11,18,330
"11_18_est_GP_param.csv","mu[2]",-0.123841366,11,18,330
"11_18_est_GP_param.csv","mu[3]",0.423576263,11,18,330
"11_18_est_GP_param.csv","mu[4]",0.439627119,11,18,330
"11_18_est_GP_param.csv","mu[5]",0.882185959,11,18,330
"11_19_est_GP_param.csv","alpha",3.554335468,11,19,330
"11_19_est_GP_param.csv","rho",2.525892552,11,19,330
"11_19_est_GP_param.csv","sigma",3.092854811,11,19,330
"11_19_est_GP_param.csv","mu[1]",-2.183830231,11,19,330
"11_19_est_GP_param.csv","mu[2]",-2.518906695,11,19,330
"11_19_est_GP_param.csv","mu[3]",0.806585304,11,19,330
"11_19_est_GP_param.csv","mu[4]",-1.709880209,11,19,330
"11_19_est_GP_param.csv","mu[5]",5.016395552,11,19,330
"11_2_est_GP_param.csv","alpha",3.388519228,11,2,330
"11_2_est_GP_param.csv","rho",2.390828211,11,2,330
"11_2_est_GP_param.csv","sigma",3.027752081,11,2,330
"11_2_est_GP_param.csv","mu[1]",4.279691111,11,2,330
"11_2_est_GP_param.csv","mu[2]",1.921868736,11,2,330
"11_2_est_GP_param.csv","mu[3]",0.719765234,11,2,330
"11_2_est_GP_param.csv","mu[4]",-1.598563884,11,2,330
"11_2_est_GP_param.csv","mu[5]",-3.065536647,11,2,330
"11_20_est_GP_param.csv","alpha",3.318425008,11,20,330
"11_20_est_GP_param.csv","rho",2.479088834,11,20,330
"11_20_est_GP_param.csv","sigma",2.615094826,11,20,330
"11_20_est_GP_param.csv","mu[1]",-2.749314465,11,20,330
"11_20_est_GP_param.csv","mu[2]",-2.206495433,11,20,330
"11_20_est_GP_param.csv","mu[3]",-1.496421151,11,20,330
"11_20_est_GP_param.csv","mu[4]",-1.119896922,11,20,330
"11_20_est_GP_param.csv","mu[5]",-0.480319451,11,20,330
"11_3_est_GP_param.csv","alpha",1.811353991,11,3,330
"11_3_est_GP_param.csv","rho",-0.415095284,11,3,330
"11_3_est_GP_param.csv","sigma",2.848215462,11,3,330
"11_3_est_GP_param.csv","mu[1]",0.908951787,11,3,330
"11_3_est_GP_param.csv","mu[2]",2.555973681,11,3,330
"11_3_est_GP_param.csv","mu[3]",-3.784046439,11,3,330
"11_3_est_GP_param.csv","mu[4]",-0.055078041,11,3,330
"11_3_est_GP_param.csv","mu[5]",-4.147560286,11,3,330
"11_4_est_GP_param.csv","alpha",3.073506073,11,4,330
"11_4_est_GP_param.csv","rho",-0.015860435,11,4,330
"11_4_est_GP_param.csv","sigma",2.089284158,11,4,330
"11_4_est_GP_param.csv","mu[1]",-0.0988398,11,4,330
"11_4_est_GP_param.csv","mu[2]",-3.984174261,11,4,330
"11_4_est_GP_param.csv","mu[3]",-1.661012081,11,4,330
"11_4_est_GP_param.csv","mu[4]",2.824085325,11,4,330
"11_4_est_GP_param.csv","mu[5]",1.393570689,11,4,330
"11_5_est_GP_param.csv","alpha",2.680423674,11,5,330
"11_5_est_GP_param.csv","rho",1.512971915,11,5,330
"11_5_est_GP_param.csv","sigma",2.895516073,11,5,330
"11_5_est_GP_param.csv","mu[1]",-0.02460167,11,5,330
"11_5_est_GP_param.csv","mu[2]",2.086131784,11,5,330
"11_5_est_GP_param.csv","mu[3]",1.227891581,11,5,330
"11_5_est_GP_param.csv","mu[4]",-0.803230139,11,5,330
"11_5_est_GP_param.csv","mu[5]",-0.506470898,11,5,330
"11_6_est_GP_param.csv","alpha",3.893327366,11,6,330
"11_6_est_GP_param.csv","rho",2.853891029,11,6,330
"11_6_est_GP_param.csv","sigma",3.15449289,11,6,330
"11_6_est_GP_param.csv","mu[1]",3.511870148,11,6,330
"11_6_est_GP_param.csv","mu[2]",2.258621608,11,6,330
"11_6_est_GP_param.csv","mu[3]",-3.334991469,11,6,330
"11_6_est_GP_param.csv","mu[4]",1.350998064,11,6,330
"11_6_est_GP_param.csv","mu[5]",0.962147279,11,6,330
"11_7_est_GP_param.csv","alpha",2.795160034,11,7,330
"11_7_est_GP_param.csv","rho",0.60671437,11,7,330
"11_7_est_GP_param.csv","sigma",2.580917,11,7,330
"11_7_est_GP_param.csv","mu[1]",-1.118381218,11,7,330
"11_7_est_GP_param.csv","mu[2]",-1.354515077,11,7,330
"11_7_est_GP_param.csv","mu[3]",-2.82896833,11,7,330
"11_7_est_GP_param.csv","mu[4]",5.243582703,11,7,330
"11_7_est_GP_param.csv","mu[5]",3.891210118,11,7,330
"11_8_est_GP_param.csv","alpha",2.085132747,11,8,330
"11_8_est_GP_param.csv","rho",-1.885724722,11,8,330
"11_8_est_GP_param.csv","sigma",2.351484107,11,8,330
"11_8_est_GP_param.csv","mu[1]",3.16553764,11,8,330
"11_8_est_GP_param.csv","mu[2]",-1.299264568,11,8,330
"11_8_est_GP_param.csv","mu[3]",-3.086628101,11,8,330
"11_8_est_GP_param.csv","mu[4]",-2.35684284,11,8,330
"11_8_est_GP_param.csv","mu[5]",-0.352716289,11,8,330
"11_9_est_GP_param.csv","alpha",2.147135806,11,9,330
"11_9_est_GP_param.csv","rho",-1.427780618,11,9,330
"11_9_est_GP_param.csv","sigma",2.188544894,11,9,330
